"id","問題","選択肢A","選択肢B","正解","解説","カテゴリ","出典メモ"
"1","「役不足」の本来の意味はどっち？","力量が足りない","役目が軽すぎる","B","「役不足」は与えられた役目が、その人の実力に対して軽すぎるという意味なんだ。文化庁の調査では、半数以上の人が逆の意味で理解しているという結果が出ているんだって。","日本語","文化庁 国語に関する世論調査"
"2","「姑息」の本来の意味はどっち？","卑怯なこと","一時しのぎ","B","「姑」はしばらく、「息」は休むという意味で、本来は一時しのぎのこと。卑怯だという意味で使う人のほうが、いまでは多くなっているんだ。","日本語","文化庁 国語に関する世論調査"
"3","「確信犯」の本来の意味はどっち？","悪いと知りつつやる","正しいと信じてやる","B","「確信犯」は、道徳や宗教のうえで正しいと確信して行われる犯罪のことなんだ。悪いと分かっていてやる、という意味はもともと無かったんだよ。","日本語","文化庁 国語に関する世論調査"
"4","「情けは人の為ならず」の意味は？","甘やかすのはよくない","自分に返ってくる","B","人に情けをかけておけば、巡り巡って自分によい報いが返ってくるという意味。甘やかすとその人のためにならない、という理解は本来のものではないんだ。","日本語","文化庁 国語に関する世論調査"
"5","「敷居が高い」の本来の意味は？","上品すぎて入りにくい","不義理で行きにくい","B","本来は、相手に失礼をしてしまってその家に行きづらい、という意味なんだ。高級すぎて入りにくいという使い方は、あとから広まったものなんだって。","日本語","文化庁 国語に関する世論調査"
"6","「潮時」の本来の意味はどっち？","ちょうどよい時期","物事の終わりどき","A","「潮時」はもともと、漁に出るのにちょうどよい潮の時刻のこと。そこから好機を指す言葉になっていて、諦めどきという否定的な意味は本来なかったんだ。","日本語","文化庁 国語に関する世論調査"
"7","「檄を飛ばす」の本来の意味は？","元気のない人を励ます","主張を広く知らせる","B","「檄」は自分の主張を書いて人々に同意を求める文書のこと。だから本来は激励ではなくて、広く呼びかけて行動をうながすという意味なんだ。","日本語","文化庁 国語に関する世論調査"
"8","「流れに棹さす」の意味は？","流れに逆らう","流れに乗る","B","棹を水底に突いて舟を進めることから、時流に乗ってうまく進むという意味なんだ。逆らうという理解が広まっているけれど、本来は正反対なんだよ。","日本語","文化庁 国語に関する世論調査"
"9","「気の置けない友人」ってどんな人？","油断できない人","気を遣わなくていい人","B","「気が置けない」は、気遣いや遠慮をしなくていいということ。打ち解けた親しい間柄を指す褒め言葉で、警戒が必要という意味じゃないんだ。","日本語","文化庁 国語に関する世論調査"
"10","「憮然」の本来の意味はどっち？","腹を立てている","失望してぼんやり","B","「憮然」は、思いどおりにならなくてがっかりし、ぼんやりしている様子のこと。腹を立てているという理解のほうが、いまでは多くなっているんだって。","日本語","文化庁 国語に関する世論調査"
"11","「話のさわり」ってどの部分？","いちばん最初の部分","いちばんの聞かせどころ","B","「さわり」はもともと義太夫節で、いちばんの聞かせどころとなる部分のこと。話の冒頭という意味ではなくて、要点や山場のことなんだ。","日本語","文化庁 国語に関する世論調査"
"12","「割愛する」の本来の意味は？","惜しみながら手放す","いらない部分を省く","A","「割愛」は、愛着のあるものをやむを得ず手放すこと。単にいらないから省略する、という意味ではなくて、惜しむ気持ちが込められている言葉なんだ。","日本語","国語辞典の語釈"
"13","「一姫二太郎」はどんな意味？","女1人男2人が理想","最初は女、次が男","B","子どもは最初に女の子、次に男の子の順で生まれると育てやすい、という意味なんだ。女の子1人と男の子2人という、人数の話ではないんだよ。","日本語","国語辞典の語釈"
"14","荷物の「天地無用」の意味は？","上下を気にしなくていい","上下を逆にするな","B","この「無用」は、してはいけないという意味なんだ。だから天地無用は、荷物の上下を逆さまにするなという注意書き。気にしなくていい、ではないんだよ。","生活","運送業界の荷扱い指示表示"
"15","「白羽の矢が立つ」の本来の意味は？","名誉ある大抜擢","犠牲者に選ばれる","B","もとは、いけにえを求める神が、選んだ娘の家の屋根に白い羽の矢を立てるという言い伝えから。本来は、望まない役目に選ばれることなんだ。","日本語","国語辞典の語釈・民間伝承"
"16","「二の腕」はどこのこと？","肩から肘まで","肘から手首まで","A","「二の腕」は肩から肘までの部分のこと。肘から手首までは前腕というよ。江戸時代の辞書だと、肩から肘までが「一の腕」で、肘から手首までが「二の腕」だったとも言われていて、いまとは逆なんだって。","生活","解剖学の部位名称／日葡辞書(1603)"
"17","秋の七草にセリは入る？","入る","入らない","B","セリが入るのは春の七草のほう。秋の七草は、萩、桔梗、葛、撫子、尾花、女郎花、藤袴の七つで、山上憶良が詠んだ歌がもとになっているんだって。","生活","万葉集 山上憶良の歌"
"18","金魚の記憶はどのくらい続く？","3秒くらい","数か月は続く","B","金魚は3秒で忘れる、という話が有名だけど、実際には数か月にわたって学習した内容を覚えていられることが、実験で確かめられているんだ。","生き物","魚類の学習・記憶に関する実験報告"
"19","万里の長城は宇宙から肉眼で見える？","見える","見えない","B","万里の長城はとても長いけれど、幅は数メートルしかないんだ。だから宇宙から肉眼で見分けることはできなくて、宇宙飛行士自身がそう証言しているよ。","科学","宇宙飛行士の証言・NASAの見解"
"20","コウモリの目は見える？","見えない","見える","B","コウモリは超音波で周りを把握するけれど、目もちゃんと見えているんだ。種類によっては、人よりも暗いところがよく見える目を持っているんだって。","生き物","動物学の一般的知見"
"21","ダチョウは驚くと砂に頭を埋める？","埋める","埋めない","B","これは俗説なんだ。地面に掘った巣の卵を確認していたり、身を低くして隠れていたりする姿が、そう見えたのだと考えられているよ。","生き物","動物学の一般的知見"
"22","人間は脳の10%しか使っていない？","本当","俗説","B","脳は場所ごとに役割が分かれていて、一日のうちにほとんどの領域が使われているんだ。10%説は、科学的な裏づけのない有名な俗説なんだよ。","科学","神経科学の一般的知見"
"23","舌には味を感じる場所の分担がある？","決まっている","決まっていない","B","いわゆる味覚地図は誤りなんだ。甘み、酸味、塩味、苦み、うまみは、舌のほぼ全体で感じられる。古い研究の伝わり方が原因で広まったとされているよ。","科学","味覚生理学の一般的知見"
"24","牛は赤い色に興奮する？","する","しない","B","牛は赤い色をほとんど見分けられないんだ。闘牛で牛が向かってくるのは、布が動いていることに反応しているからで、色は関係ないんだよ。","生き物","動物の色覚に関する一般的知見"
"25","ヴァイキングの兜には角がついていた？","ついていた","ついていない","B","角つきの兜は、19世紀の演劇の衣装から広まったイメージなんだ。発掘された実物に角はついていないし、戦いでは邪魔にしかならないよね。","歴史","考古学的出土品と19世紀の舞台美術"
"26","ナポレオンの身長は当時の平均と比べて？","低かった","平均より高め","B","ナポレオンの身長は約168センチで、当時のフランス人男性の平均を少し上回っていたんだ。単位の違いや風刺画から、小柄なイメージが広まったとされているよ。","歴史","当時のフランス尺と英尺の換算"
"27","髪や爪は亡くなったあとも伸びる？","伸びる","伸びない","B","伸びて見えるのは、皮膚の水分が失われて縮み、根元が出てくるからなんだ。細胞が新しく作られることは止まっているから、実際には伸びていないんだよ。","科学","法医学の一般的知見"
"28","雷は同じ場所に二度落ちない？","落ちない","何度でも落ちる","B","高い建物や木には、何度でも落ちるんだ。東京スカイツリーのような高い建造物では、一年に何度も落雷が記録されているよ。","科学","気象観測の記録"
"29","電子レンジは食品をどう温める？","内側から温める","届く範囲が同時に","B","マイクロ波は食品の表面から数センチ入り込んで、水の分子を振動させるんだ。だから中心だけ先に温まるわけじゃなくて、波が届く範囲が一緒に温まるんだよ。","科学","マイクロ波加熱の原理"
"30","2100年はうるう年？","うるう年","平年","B","うるう年は4で割り切れる年だけど、100で割り切れる年は平年になるんだ。ただし400で割り切れる年はうるう年だから、2000年はうるう年だったんだよ。","科学","グレゴリオ暦の規則"
"31","賞味期限を過ぎたらすぐ食べられない？","食べられない","目安なので状態次第","B","賞味期限は、おいしく食べられる期限の目安なんだ。すぐに食べられなくなるほうは消費期限といって、こちらは過ぎたら避けたほうがいいよ。","生活","消費者庁 食品表示の区分"
"32","鮭は赤身魚？　白身魚？","赤身魚","白身魚","B","鮭の身が赤いのは、エサに含まれるアスタキサンチンという色素のせいなんだ。筋肉の性質で分けると、鮭は白身魚に分類されるんだよ。","食べ物","水産学の分類"
"33","卵の殻の色で栄養は変わる？","変わる","ほとんど変わらない","B","殻の色は鶏の品種による違いで、栄養にはほとんど差がないんだ。赤玉のほうが高いのは、主に飼育にかかる手間やコストの違いなんだって。","食べ物","日本卵業協会などの解説"
"34","味噌汁の味噌は煮立たせたほうがいい？","煮立たせる","煮立たせない","B","味噌は煮立たせると、香りの成分が飛んでしまうんだ。火を止める直前か、止めてから溶き入れると風味がしっかり残るよ。","食べ物","調理科学の一般的知見"
"35","サボテンのトゲは何が変化したもの？","茎","葉","B","サボテンのトゲは、葉が変化したものなんだ。水が蒸発するのを防いだり、動物に食べられるのを避けたりする役割があって、光合成は太い茎が担当しているよ。","生き物","植物学の一般的知見"
"36","コアラは一日どのくらい寝る？","8時間くらい","20時間くらい","B","コアラの主食のユーカリは栄養が少なくて、消化にも時間がかかるんだ。だからエネルギーを節約するために、一日20時間ほどを眠って過ごしているんだよ。","生き物","動物園・動物学の解説"
"37","富士山の8合目から上は誰のもの？","国のもの","神社の境内地","B","富士山の8合目から上は、富士山本宮浅間大社の境内地とされているんだ。所有をめぐる争いがあって、裁判を経て認められた経緯があるんだって。","生活","富士山本宮浅間大社をめぐる訴訟の経緯"
"38","トマトは植物学ではどっち？","野菜","果実","B","植物学では、花が実になったものを果実と呼ぶんだ。だからトマトは果実にあたる。食べ方のうえでは野菜として扱われていて、分け方が違うんだね。","食べ物","植物学の分類と食品分類の違い"
"39","ピーマンとパプリカは別の植物？","別の種類","同じ種","B","どちらもトウガラシの仲間で、同じ種に属しているんだ。品種の違いで、大きさや甘み、果肉の厚さが変わっているんだよ。","食べ物","植物学の分類"
"40","わさびの辛さはどこで感じている？","舌で感じる","鼻に抜けて感じる","B","わさびの辛味成分は蒸発しやすくて、鼻に抜けてツンとした刺激になるんだ。唐辛子の辛さが舌に残るのとは、感じ方がぜんぜん違うんだよ。","食べ物","食品化学の一般的知見"
"41","「サバを読む」の由来は？","値段をごまかした","傷みやすく急いで数えた","B","鯖は傷むのが早いから、市場で急いで数えるうちに数が合わなくなったことが由来とされているんだ。そこから、数をごまかす意味になったんだって。","日本語","語源辞典の記述"
"42","爪の根元の白い半月は健康のサイン？","健康のサイン","関係ない","B","あの半月は、新しく作られたばかりの爪が見えているだけなんだ。大きさには個人差があって、健康状態を表すものではないんだよ。","科学","皮膚科の一般的知見"
"43","蚊に刺されやすさは血液型で決まる？","決まる","決まらない","B","蚊は二酸化炭素や体温、汗のにおいに引き寄せられるんだ。血液型で決まるという説は、科学的にはっきり確かめられてはいないんだよ。","科学","衛生昆虫学の一般的知見"
"44","ゴキブリは頭がなくても生きられる？","生きられない","しばらく生きられる","B","昆虫は体のあちこちに神経のかたまりがあって、呼吸も体の側面の穴でしているんだ。だから頭がなくてもしばらく動けて、最後は水が飲めずに力尽きるんだって。","生き物","昆虫生理学の一般的知見"
"45","砂糖に賞味期限の表示はある？","ある","ない","B","砂糖は水分がほとんどなくて品質が変わりにくいから、賞味期限の表示を省略できる食品にあたるんだ。塩も同じ扱いなんだよ。","生活","食品表示基準"
"46","「一石二鳥」はどこから来た言葉？","中国の故事","イギリスのことわざ","B","「一石二鳥」は、英語のことわざを明治時代に訳したものなんだ。漢文っぽい見た目をしているけれど、中国の故事成語ではないんだよ。","日本語","語源辞典の記述"
"47","「五月晴れ」はもともといつの晴れ？","5月の爽やかな晴れ","梅雨の晴れ間","B","もとは旧暦の五月、いまの6月ごろの、梅雨の合間の晴れを指す言葉なんだ。いまでは5月の晴天という意味でも使われているよ。","日本語","国語辞典の語釈"
"48","カピバラは何の仲間？","ブタの仲間","ネズミの仲間","B","カピバラは世界でいちばん大きなげっ歯類で、ネズミの仲間なんだ。見た目はずんぐりしているけれど、分類のうえではモルモットに近いんだよ。","生き物","動物分類学"
"49","お酒を飲むと体は温まる？","温まる","一時的に感じるだけ","B","アルコールは血管を広げて皮膚の血のめぐりを増やすから温かく感じるんだ。でもその分だけ熱が外に逃げていって、体の奥の温度はむしろ下がるんだよ。","科学","生理学の一般的知見"
"50","時計回りの向きはどう決まった？","特に理由はない","日時計の影の動きから","B","北半球では、日時計の影が左から右へ動くんだ。その動きをまねて、機械式時計の針が回る向きが決まったとされているよ。","科学","時計史の通説"
